title,organization,rating,review_count,difficulty,course_type,duration,skills,url,is_free,course_id
google data analytics,Google,4.763390314226825,170291,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,data storytelling rmarkdown data literacy data visualization data presentation data ethic data cleansing interactive data visualization data validation ggplot tableau software sampling statistic presentation spreadsheet software data analysis data visualization software stakeholder communication linkedin interviewing skill applicant tracking system,/professional-certificates/google-data-analytics,False,s12n~kr43OcbTEeqeNBKhfgCLyw
google cybersecurity,Google,4.822850067537146,53304,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,threat modeling network security incident response vulnerability management computer security incident management hardening intrusion detection prevention cyber threat intelligence threat management cyber attack cybersecurity network protocol cloud security vulnerability assessment bash scripting language debugging linux interviewing skill python programming sql,/professional-certificates/google-cybersecurity,False,s12n~Dy6K-2UKEe2PIRJn6nL9pQ
google project management,Google,4.842615375198921,130704,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,quality management project management life cycle requirement analysis project scoping project closure project management project planning agile project management continuous improvement process project control backlog stakeholder communication milestone project management quality assessment team management agile methodology project documentation change management interviewing skill applicant tracking system,/professional-certificates/google-project-management,False,s12n~fq9UWMbTEeqpthJ2RmWGow
google ai essential,Google,4.835467442706438,2749,Beginner,Specialization,ONE_TO_THREE_MONTHS,prompt engineering generative ai artificial intelligence machine learning aiml large language modeling process optimization productivity software workforce development digital transformation innovation technical writing emerging technology operational efficiency business solution machine learning software data security critical thinking analysis data analysis data quality,/specializations/ai-essentials-google,False,s12n~3tzIujTqTk-YdcEFZ9r3sQ
google digital marketing ecommerce,Google,4.801079871104221,40653,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,data storytelling search engine marketing medium planning social medium marketing google ad email marketing social medium strategy search engine optimization order fulfillment social medium management performance measurement spreadsheet software testing customer retention ecommerce campaign management loyalty program marketing interviewing skill applicant tracking system,/professional-certificates/google-digital-marketing-ecommerce,False,s12n~aYYrIEl-EeyCjQ5Y8Mzdsw
google support,Google,4.783728692276779,204034,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,computer networking package software management network troubleshooting system administration cloud infrastructure infrastructure information system security tcpip network security file system microsoft window computer security network architecture application security desktop support computer hardware technical support interviewing skill applicant tracking system professional development,/professional-certificates/google-it-support,False,s12n~7lHCSlFIEeeffRIHljDI_g
google ux design,Google,4.815436043653526,91539,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,responsive web design storyboarding wireframing user experience design uiux research usability testing information architecture presentation user research figma design software design review persona user experience web content accessibility guideline mobile development user story cross platform development data ethic usability interviewing skill applicant tracking system,/professional-certificates/google-ux-design,False,s12n~Z-5wCcbTEeqeNBKhfgCLyw
machine learning,"DeepLearning.AI, Stanford University",4.894270395594846,34505,Beginner,Specialization,ONE_TO_THREE_MONTHS,unsupervised learning supervised learning machine learning method classification regression tree cart artificial intelligence machine learning aiml applied machine learning machine learning algorithm machine learning jupyter data ethic decision tree learning tensorflow scikit learn machine learning library artificial intelligence numpy predictive modeling deep learning reinforcement learning random forest algorithm feature engineering,/specializations/machine-learning-introduction,False,s12n~nOOfCDWeEeuiZgo2K4rorQ
google prompting essential,Google,4.795606494746896,1047,Beginner,Specialization,ONE_TO_FOUR_WEEKS,data visualization prompt engineering data presentation graphing generative ai agent chatgpt ai personalization generative ai timeline data analysis taking meeting minute artificial intelligence complex problem solving ideation business correspondence report writing solution design critical thinking document management machine learning,/specializations/prompting-essentials-google,False,s12n~1a_Qa92eQkOSjt6VLZ6lsg
ai everyone,DeepLearning.AI,4.790127032730583,48334,Beginner,Course,ONE_TO_FOUR_WEEKS,data ethic market_opportunities artificial intelligence machine learning aiml artificial intelligence team building machine learning strategic thinking data science need assessment deep learning business ethic artificial neural network engineering management,/learn/ai-for-everyone,False,course~daG-a-O1EeijKBISCWxf6g
