course_id,title_original,title,organization,rating,review_count,difficulty,course_type,duration_readable,duration,skills_formatted,skills,url,is_free
s12n~kr43OcbTEeqeNBKhfgCLyw,Google Data Analytics,google data analytics,Google,4.763390314226825,170291,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Data, Storytelling, Rmarkdown, Data, Literacy, Data, Visualization, Data, Presentation, Data, Ethic, Data, Cleansing, Interactive, Data, Visualization, Data, Validation, Ggplot, Tableau, Software, Sampling, Statistic, Presentation, Spreadsheet, Software, Data, Analysis, Data, Visualization, Software, Stakeholder, Communication, Linkedin, Interviewing, Skill, Applicant, Tracking, System",data storytelling rmarkdown data literacy data visualization data presentation data ethic data cleansing interactive data visualization data validation ggplot tableau software sampling statistic presentation spreadsheet software data analysis data visualization software stakeholder communication linkedin interviewing skill applicant tracking system,/professional-certificates/google-data-analytics,False
s12n~Dy6K-2UKEe2PIRJn6nL9pQ,Google Cybersecurity,google cybersecurity,Google,4.822850067537146,53304,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Threat, Modeling, Network, Security, Incident, Response, Vulnerability, Management, Computer, Security, Incident, Management, Hardening, Intrusion, Detection, Prevention, Cyber, Threat, Intelligence, Threat, Management, Cyber, Attack, Cybersecurity, Network, Protocol, Cloud, Security, Vulnerability, Assessment, Bash, Scripting, Language, Debugging, Linux, Interviewing, Skill, Python, Programming, SQL",threat modeling network security incident response vulnerability management computer security incident management hardening intrusion detection prevention cyber threat intelligence threat management cyber attack cybersecurity network protocol cloud security vulnerability assessment bash scripting language debugging linux interviewing skill python programming sql,/professional-certificates/google-cybersecurity,False
s12n~fq9UWMbTEeqpthJ2RmWGow,Google Project Management:,google project management,Google,4.842615375198921,130704,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Quality, Management, Project, Management, Life, Cycle, Requirement, Analysis, Project, Scoping, Project, Closure, Project, Management, Project, Planning, Agile, Project, Management, Continuous, Improvement, Process, Project, Control, Backlog, Stakeholder, Communication, Milestone, Project, Management, Quality, Assessment, Team, Management, Agile, Methodology, Project, Documentation, Change, Management, Interviewing, Skill, Applicant, Tracking, System",quality management project management life cycle requirement analysis project scoping project closure project management project planning agile project management continuous improvement process project control backlog stakeholder communication milestone project management quality assessment team management agile methodology project documentation change management interviewing skill applicant tracking system,/professional-certificates/google-project-management,False
s12n~3tzIujTqTk-YdcEFZ9r3sQ,Google AI Essentials,google ai essential,Google,4.835467442706438,2749,Beginner,Specialization,1-3 months,ONE_TO_THREE_MONTHS,"Prompt, Engineering, Generative, AI, Artificial, Intelligence, Machine, Learning, AI/ML, Large, Language, Modeling, Process, Optimization, Productivity, Software, Workforce, Development, Digital, Transformation, Innovation, Technical, Writing, Emerging, Technology, Operational, Efficiency, Business, Solution, Machine, Learning, Software, Data, Security, Critical, Thinking, Analysis, Data, Analysis, Data, Quality",prompt engineering generative ai artificial intelligence machine learning aiml large language modeling process optimization productivity software workforce development digital transformation innovation technical writing emerging technology operational efficiency business solution machine learning software data security critical thinking analysis data analysis data quality,/specializations/ai-essentials-google,False
s12n~aYYrIEl-EeyCjQ5Y8Mzdsw,Google Digital Marketing & E-commerce,google digital marketing ecommerce,Google,4.801079871104221,40653,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Data, Storytelling, Search, Engine, Marketing, Medium, Planning, Social, Medium, Marketing, Google, Ad, Email, Marketing, Social, Medium, Strategy, Search, Engine, Optimization, Order, Fulfillment, Social, Medium, Management, Performance, Measurement, Spreadsheet, Software, Testing, Customer, Retention, Ecommerce, Campaign, Management, Loyalty, Program, Marketing, Interviewing, Skill, Applicant, Tracking, System",data storytelling search engine marketing medium planning social medium marketing google ad email marketing social medium strategy search engine optimization order fulfillment social medium management performance measurement spreadsheet software testing customer retention ecommerce campaign management loyalty program marketing interviewing skill applicant tracking system,/professional-certificates/google-digital-marketing-ecommerce,False
s12n~7lHCSlFIEeeffRIHljDI_g,Google IT Support,google support,Google,4.783728692276779,204034,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Computer, Networking, Package, Software, Management, Network, Troubleshooting, System, Administration, Cloud, Infrastructure, Infrastructure, Information, System, Security, Tcpip, Network, Security, File, System, Microsoft, Window, Computer, Security, Network, Architecture, Application, Security, Desktop, Support, Computer, Hardware, Technical, Support, Interviewing, Skill, Applicant, Tracking, System, Professional, Development",computer networking package software management network troubleshooting system administration cloud infrastructure infrastructure information system security tcpip network security file system microsoft window computer security network architecture application security desktop support computer hardware technical support interviewing skill applicant tracking system professional development,/professional-certificates/google-it-support,False
s12n~Z-5wCcbTEeqeNBKhfgCLyw,Google UX Design,google ux design,Google,4.815436043653526,91539,Beginner,Professional Certificate,3-6 months,THREE_TO_SIX_MONTHS,"Responsive, Web, Design, Storyboarding, Wireframing, User, Experience, Design, Uiux, Research, Usability, Testing, Information, Architecture, Presentation, User, Research, Figma, Design, Software, Design, Review, Persona, User, Experience, Web, Content, Accessibility, Guideline, Mobile, Development, User, Story, Cross, Platform, Development, Data, Ethic, Usability, Interviewing, Skill, Applicant, Tracking, System",responsive web design storyboarding wireframing user experience design uiux research usability testing information architecture presentation user research figma design software design review persona user experience web content accessibility guideline mobile development user story cross platform development data ethic usability interviewing skill applicant tracking system,/professional-certificates/google-ux-design,False
s12n~nOOfCDWeEeuiZgo2K4rorQ,Machine Learning,machine learning,"DeepLearning.AI, Stanford University",4.894270395594846,34505,Beginner,Specialization,1-3 months,ONE_TO_THREE_MONTHS,"Unsupervised, Learning, Supervised, Learning, Machine, Learning, Method, Classification, Regression, Tree, Cart, Artificial, Intelligence, Machine, Learning, AI/ML, Applied, Machine, Learning, Machine, Learning, Algorithm, Machine, Learning, Jupyter, Data, Ethic, Decision, Tree, Learning, Tensorflow, Scikit, Learn, Machine, Learning, Library, Artificial, Intelligence, Numpy, Predictive, Modeling, Deep, Learning, Reinforcement, Learning, Random, Forest, Algorithm, Feature, Engineering",unsupervised learning supervised learning machine learning method classification regression tree cart artificial intelligence machine learning aiml applied machine learning machine learning algorithm machine learning jupyter data ethic decision tree learning tensorflow scikit learn machine learning library artificial intelligence numpy predictive modeling deep learning reinforcement learning random forest algorithm feature engineering,/specializations/machine-learning-introduction,False
s12n~1a_Qa92eQkOSjt6VLZ6lsg,Google Prompting Essentials,google prompting essential,Google,4.795606494746896,1047,Beginner,Specialization,1-4 weeks,ONE_TO_FOUR_WEEKS,"Data, Visualization, Prompt, Engineering, Data, Presentation, Graphing, Generative, AI, Agent, Chatgpt, AI, Personalization, Generative, AI, Timeline, Data, Analysis, Taking, Meeting, Minute, Artificial, Intelligence, Complex, Problem, Solving, Ideation, Business, Correspondence, Report, Writing, Solution, Design, Critical, Thinking, Document, Management, Machine, Learning",data visualization prompt engineering data presentation graphing generative ai agent chatgpt ai personalization generative ai timeline data analysis taking meeting minute artificial intelligence complex problem solving ideation business correspondence report writing solution design critical thinking document management machine learning,/specializations/prompting-essentials-google,False
course~daG-a-O1EeijKBISCWxf6g,AI For Everyone,ai everyone,DeepLearning.AI,4.790127032730583,48334,Beginner,Course,1-4 weeks,ONE_TO_FOUR_WEEKS,"Data, Ethic, Market Opportunities, Artificial, Intelligence, Machine, Learning, AI/ML, Artificial, Intelligence, Team, Building, Machine, Learning, Strategic, Thinking, Data, Science, Need, Assessment, Deep, Learning, Business, Ethic, Artificial, Neural, Network, Engineering, Management",data ethic market_opportunities artificial intelligence machine learning aiml artificial intelligence team building machine learning strategic thinking data science need assessment deep learning business ethic artificial neural network engineering management,/learn/ai-for-everyone,False
