title,organization,rating,review_count,difficulty,course_type,duration,skills,title_tokenized,skills_tokenized,title_stopwordsized,skills_stopwordsized,title_lemmatized,skills_lemmatized
google data analytics,google,4.763390314226825,170291,beginner,professional certificate,three_to_six_months,data storytelling rmarkdown data literacy data visualization data presentation data ethics data cleansing interactive data visualization data validation ggplot tableau software sampling statistics presentations spreadsheet software data analysis data visualization software stakeholder communications linkedin interviewing skills applicant tracking systems,google data analytics,data storytelling rmarkdown data_literacy_data visualization_data_presentation data_ethics_data cleansing interactive_data_visualization data_validation ggplot tableau_software sampling_statistics presentations spreadsheet_software_data analysis_data_visualization software stakeholder_communications linkedin interviewing_skills applicant_tracking_systems,google data analytics,data storytelling rmarkdown data_literacy_data visualization_data_presentation data_ethics_data cleansing interactive_data_visualization data_validation ggplot tableau_software sampling_statistics presentations spreadsheet_software_data analysis_data_visualization software stakeholder_communications linkedin interviewing_skills applicant_tracking_systems,google data analytics,data storytelling rmarkdown data_literacy_data visualization_data_presentation data_ethics_data cleansing interactive_data_visualization data_validation ggplot tableau_software sampling_statistics presentation spreadsheet_software_data analysis_data_visualization software stakeholder_communications linkedin interviewing_skills applicant_tracking_systems
google cybersecurity,google,4.822850067537146,53304,beginner,professional certificate,three_to_six_months,threat modeling network security incident response vulnerability management computer security incident management hardening intrusion detection and prevention cyber threat intelligence threat management cyber attacks cybersecurity network protocols cloud security vulnerability assessments bash scripting language debugging linux interviewing skills python programming sql,google cybersecurity,threat_modeling network security_incident response vulnerability_management computer security_incident_management hardening intrusion_detection and prevention cyber_threat_intelligence threat_management cyber_attacks cybersecurity_network protocols cloud_security vulnerability_assessments bash_scripting_language debugging linux interviewing_skills python_programming sql,google cybersecurity,threat_modeling network security_incident response vulnerability_management computer security_incident_management hardening intrusion_detection prevention cyber_threat_intelligence threat_management cyber_attacks cybersecurity_network protocols cloud_security vulnerability_assessments bash_scripting_language debugging linux interviewing_skills python_programming sql,google cybersecurity,threat_modeling network security_incident response vulnerability_management computer security_incident_management hardening intrusion_detection prevention cyber_threat_intelligence threat_management cyber_attacks cybersecurity_network protocol cloud_security vulnerability_assessments bash_scripting_language debugging linux interviewing_skills python_programming sql
google project management,google,4.842615375198921,130704,beginner,professional certificate,three_to_six_months,quality management project management life cycle requirements analysis project scoping project closure project management project planning agile project management continuous improvement process project controls backlogs stakeholder communications milestones project management quality assessment team management agile methodology project documentation change management interviewing skills applicant tracking systems,google project_management,quality management_project_management life_cycle requirements_analysis project scoping project_closure project_management_project planning agile_project_management continuous_improvement_process project controls backlogs stakeholder_communications milestones_project_management quality assessment team_management agile_methodology_project documentation change_management interviewing_skills applicant_tracking_systems,google project_management,quality management_project_management life_cycle requirements_analysis project scoping project_closure project_management_project planning agile_project_management continuous_improvement_process project controls backlogs stakeholder_communications milestones_project_management quality assessment team_management agile_methodology_project documentation change_management interviewing_skills applicant_tracking_systems,google project_management,quality management_project_management life_cycle requirements_analysis project scoping project_closure project_management_project planning agile_project_management continuous_improvement_process project control backlog stakeholder_communications milestones_project_management quality assessment team_management agile_methodology_project documentation change_management interviewing_skills applicant_tracking_systems
google ai essentials,google,4.835467442706438,2749,beginner,specialization,one_to_three_months,prompt engineering generative ai artificial intelligence and machine learning aiml large language modeling process optimization productivity software workforce development digital transformation innovation technical writing emerging technologies operational efficiency business solutions machine learning software data security critical thinking analysis data analysis data quality,google ai essentials,prompt_engineering_generative ai artificial_intelligence and machine_learning_aiml large_language_modeling process_optimization productivity_software workforce_development digital_transformation innovation technical_writing emerging_technologies operational_efficiency business solutions machine learning_software data_security critical_thinking analysis_data_analysis data_quality,google ai essentials,prompt_engineering_generative ai artificial_intelligence machine_learning_aiml large_language_modeling process_optimization productivity_software workforce_development digital_transformation innovation technical_writing emerging_technologies operational_efficiency business solutions machine learning_software data_security critical_thinking analysis_data_analysis data_quality,google ai essential,prompt_engineering_generative ai artificial_intelligence machine_learning_aiml large_language_modeling process_optimization productivity_software workforce_development digital_transformation innovation technical_writing emerging_technologies operational_efficiency business solution machine learning_software data_security critical_thinking analysis_data_analysis data_quality
google digital marketing ecommerce,google,4.801079871104221,40653,beginner,professional certificate,three_to_six_months,data storytelling search engine marketing media planning social media marketing google ads email marketing social media strategy search engine optimization order fulfillment social media management performance measurement spreadsheet software ab testing customer retention ecommerce campaign management loyalty programs marketing interviewing skills applicant tracking systems,google digital_marketing ecommerce,data storytelling search_engine_marketing media planning social_media_marketing google ads email_marketing social_media_strategy search_engine_optimization order fulfillment social_media management_performance_measurement spreadsheet_software ab testing customer_retention ecommerce campaign_management loyalty programs marketing interviewing_skills applicant_tracking_systems,google digital_marketing ecommerce,data storytelling search_engine_marketing media planning social_media_marketing google ads email_marketing social_media_strategy search_engine_optimization order fulfillment social_media management_performance_measurement spreadsheet_software testing customer_retention ecommerce campaign_management loyalty programs marketing interviewing_skills applicant_tracking_systems,google digital_marketing ecommerce,data storytelling search_engine_marketing medium planning social_media_marketing google ad email_marketing social_media_strategy search_engine_optimization order fulfillment social_media management_performance_measurement spreadsheet_software testing customer_retention ecommerce campaign_management loyalty program marketing interviewing_skills applicant_tracking_systems
google it support,google,4.783728692276779,204034,beginner,professional certificate,three_to_six_months,computer networking package and software management network troubleshooting systems administration cloud infrastructure it infrastructure information systems security tcpip network security file systems microsoft windows computer security network architecture application security desktop support computer hardware technical support interviewing skills applicant tracking systems professional development,google it support,computer networking package and software_management network troubleshooting systems administration cloud_infrastructure it infrastructure information_systems_security tcpip network_security file_systems microsoft windows computer_security network_architecture application_security desktop_support computer_hardware technical_support interviewing_skills applicant_tracking_systems professional_development,google support,computer networking package software_management network troubleshooting systems administration cloud_infrastructure infrastructure information_systems_security tcpip network_security file_systems microsoft windows computer_security network_architecture application_security desktop_support computer_hardware technical_support interviewing_skills applicant_tracking_systems professional_development,google support,computer networking package software_management network troubleshooting system administration cloud_infrastructure infrastructure information_systems_security tcpip network_security file_system microsoft window computer_security network_architecture application_security desktop_support computer_hardware technical_support interviewing_skills applicant_tracking_systems professional_development
google ux design,google,4.815436043653526,91539,beginner,professional certificate,three_to_six_months,responsive web design storyboarding wireframing user experience design uiux research usability testing information architecture presentations user research figma design software design reviews persona user experience web content accessibility guidelines mobile development user story cross platform development data ethics usability interviewing skills applicant tracking systems,google ux design,responsive_web_design storyboarding wireframing user_experience_design uiux research_usability_testing information_architecture presentations user_research figma design_software_design reviews persona_user_experience web content_accessibility_guidelines mobile development_user_story cross platform development_data ethics usability interviewing_skills applicant_tracking_systems,google ux design,responsive_web_design storyboarding wireframing user_experience_design uiux research_usability_testing information_architecture presentations user_research figma design_software_design reviews persona_user_experience web content_accessibility_guidelines mobile development_user_story cross platform development_data ethics usability interviewing_skills applicant_tracking_systems,google ux design,responsive_web_design storyboarding wireframing user_experience_design uiux research_usability_testing information_architecture presentation user_research figma design_software_design review persona_user_experience web content_accessibility_guidelines mobile development_user_story cross platform development_data ethic usability interviewing_skills applicant_tracking_systems
machine learning,deeplearningai stanford university,4.894270395594846,34505,beginner,specialization,one_to_three_months,unsupervised learning supervised learning machine learning methods classification and regression tree cart artificial intelligence and machine learning aiml applied machine learning machine learning algorithms machine learning jupyter data ethics decision tree learning tensorflow scikit learn machine learning library artificial intelligence numpy predictive modeling deep learning reinforcement learning random forest algorithm feature engineering,machine_learning,unsupervised_learning supervised learning_machine_learning methods classification and regression_tree cart artificial_intelligence and machine_learning_aiml applied_machine learning_machine_learning algorithms_machine learning jupyter data_ethics decision_tree learning_tensorflow scikit learn machine_learning_library artificial_intelligence numpy predictive_modeling deep learning_reinforcement learning random_forest algorithm feature_engineering,machine_learning,unsupervised_learning supervised learning_machine_learning methods classification regression_tree cart artificial_intelligence machine_learning_aiml applied_machine learning_machine_learning algorithms_machine learning jupyter data_ethics decision_tree learning_tensorflow scikit learn machine_learning_library artificial_intelligence numpy predictive_modeling deep learning_reinforcement learning random_forest algorithm feature_engineering,machine_learning,unsupervised_learning supervised learning_machine_learning method classification regression_tree cart artificial_intelligence machine_learning_aiml applied_machine learning_machine_learning algorithms_machine learning jupyter data_ethics decision_tree learning_tensorflow scikit learn machine_learning_library artificial_intelligence numpy predictive_modeling deep learning_reinforcement learning random_forest algorithm feature_engineering
google prompting essentials,google,4.795606494746896,1047,beginner,specialization,one_to_four_weeks,data visualization prompt engineering data presentation graphing generative ai agents chatgpt ai personalization generative ai timelines data analysis taking meeting minutes artificial intelligence complex problem solving ideation business correspondence report writing solution design critical thinking document management machine learning,google prompting essentials,data_visualization prompt_engineering_data presentation graphing generative ai_agents chatgpt ai_personalization generative ai timelines data_analysis taking_meeting minutes artificial_intelligence complex_problem solving ideation business_correspondence report writing solution_design critical_thinking document management_machine_learning,google prompting essentials,data_visualization prompt_engineering_data presentation graphing generative ai_agents chatgpt ai_personalization generative ai timelines data_analysis taking_meeting minutes artificial_intelligence complex_problem solving ideation business_correspondence report writing solution_design critical_thinking document management_machine_learning,google prompting essential,data_visualization prompt_engineering_data presentation graphing generative ai_agents chatgpt ai_personalization generative ai timeline data_analysis taking_meeting minute artificial_intelligence complex_problem solving ideation business_correspondence report writing solution_design critical_thinking document management_machine_learning
ai for everyone,deeplearningai,4.790127032730583,48334,beginner,course,one_to_four_weeks,data ethics market opportunities artificial intelligence and machine learning aiml artificial intelligence team building machine learning strategic thinking data science needs assessment deep learning business ethics artificial neural networks engineering management,ai for everyone,data_ethics market_opportunities artificial_intelligence and machine_learning_aiml artificial_intelligence team building machine_learning strategic_thinking data_science needs_assessment deep_learning business_ethics artificial_neural_networks engineering_management,ai everyone,data_ethics market_opportunities artificial_intelligence machine_learning_aiml artificial_intelligence team building machine_learning strategic_thinking data_science needs_assessment deep_learning business_ethics artificial_neural_networks engineering_management,ai everyone,data_ethics market_opportunities artificial_intelligence machine_learning_aiml artificial_intelligence team building machine_learning strategic_thinking data_science needs_assessment deep_learning business_ethics artificial_neural_networks engineering_management
