title,organization,rating,review_count,difficulty,course_type,duration,skills,url,is_free,course_id
google data analytics,Google,4.763390314226825,170291,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,data storytelling rmarkdown data_literacy_data visualization_data_presentation data_ethics_data cleansing interactive_data_visualization data_validation ggplot tableau_software sampling_statistics presentation spreadsheet_software_data analysis_data_visualization software stakeholder_communications linkedin interviewing_skills applicant_tracking_systems,/professional-certificates/google-data-analytics,False,s12n~kr43OcbTEeqeNBKhfgCLyw
google cybersecurity,Google,4.822850067537146,53304,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,threat_modeling network security_incident response vulnerability_management computer security_incident_management hardening intrusion_detection prevention cyber_threat_intelligence threat_management cyber_attacks cybersecurity_network protocol cloud_security vulnerability_assessments bash_scripting_language debugging linux interviewing_skills python_programming sql,/professional-certificates/google-cybersecurity,False,s12n~Dy6K-2UKEe2PIRJn6nL9pQ
google project_management,Google,4.842615375198921,130704,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,quality management_project_management life_cycle requirements_analysis project scoping project_closure project_management_project planning agile_project_management continuous_improvement_process project control backlog stakeholder_communications milestones_project_management quality assessment team_management agile_methodology_project documentation change_management interviewing_skills applicant_tracking_systems,/professional-certificates/google-project-management,False,s12n~fq9UWMbTEeqpthJ2RmWGow
google ai essential,Google,4.835467442706438,2749,Beginner,Specialization,ONE_TO_THREE_MONTHS,prompt_engineering_generative ai artificial_intelligence machine_learning_aiml large_language_modeling process_optimization productivity_software workforce_development digital_transformation innovation technical_writing emerging_technologies operational_efficiency business solution machine learning_software data_security critical_thinking analysis_data_analysis data_quality,/specializations/ai-essentials-google,False,s12n~3tzIujTqTk-YdcEFZ9r3sQ
google digital_marketing ecommerce,Google,4.801079871104221,40653,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,data storytelling search_engine_marketing medium planning social_media_marketing google ad email_marketing social_media_strategy search_engine_optimization order fulfillment social_media management_performance_measurement spreadsheet_software testing customer_retention ecommerce campaign_management loyalty program marketing interviewing_skills applicant_tracking_systems,/professional-certificates/google-digital-marketing-ecommerce,False,s12n~aYYrIEl-EeyCjQ5Y8Mzdsw
google support,Google,4.783728692276779,204034,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,computer networking package software_management network troubleshooting system administration cloud_infrastructure infrastructure information_systems_security tcpip network_security file_system microsoft window computer_security network_architecture application_security desktop_support computer_hardware technical_support interviewing_skills applicant_tracking_systems professional_development,/professional-certificates/google-it-support,False,s12n~7lHCSlFIEeeffRIHljDI_g
google ux design,Google,4.815436043653526,91539,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,responsive_web_design storyboarding wireframing user_experience_design uiux research_usability_testing information_architecture presentation user_research figma design_software_design review persona_user_experience web content_accessibility_guidelines mobile development_user_story cross platform development_data ethic usability interviewing_skills applicant_tracking_systems,/professional-certificates/google-ux-design,False,s12n~Z-5wCcbTEeqeNBKhfgCLyw
machine_learning,"DeepLearning.AI, Stanford University",4.894270395594846,34505,Beginner,Specialization,ONE_TO_THREE_MONTHS,unsupervised_learning supervised learning_machine_learning method classification regression_tree cart artificial_intelligence machine_learning_aiml applied_machine learning_machine_learning algorithms_machine learning jupyter data_ethics decision_tree learning_tensorflow scikit learn machine_learning_library artificial_intelligence numpy predictive_modeling deep learning_reinforcement learning random_forest algorithm feature_engineering,/specializations/machine-learning-introduction,False,s12n~nOOfCDWeEeuiZgo2K4rorQ
google prompting essential,Google,4.795606494746896,1047,Beginner,Specialization,ONE_TO_FOUR_WEEKS,data_visualization prompt_engineering_data presentation graphing generative ai_agents chatgpt ai_personalization generative ai timeline data_analysis taking_meeting minute artificial_intelligence complex_problem solving ideation business_correspondence report writing solution_design critical_thinking document management_machine_learning,/specializations/prompting-essentials-google,False,s12n~1a_Qa92eQkOSjt6VLZ6lsg
ai everyone,DeepLearning.AI,4.790127032730583,48334,Beginner,Course,ONE_TO_FOUR_WEEKS,data_ethics market_opportunities artificial_intelligence machine_learning_aiml artificial_intelligence team building machine_learning strategic_thinking data_science needs_assessment deep_learning business_ethics artificial_neural_networks engineering_management,/learn/ai-for-everyone,False,course~daG-a-O1EeijKBISCWxf6g
ibm data_science,IBM,4.615297066031598,144446,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,exploratory_data_analysis data wrangling dashboard data_visualization_software data_visualization sql unsupervised_learning plotly interactive_data_visualization data_transformation supervised_learning jupyter data_analysis_data cleansing data_manipulation_data literacy_data_mining matplotlib generative ai professional networking,/professional-certificates/ibm-data-science,False,s12n~dwzq23ZLEei12goo904QNg
ibm data analyst,IBM,4.634533442368939,92936,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,exploratory_data_analysis data storytelling_data wrangling dashboard data_visualization_software plotly data_visualization sql generative ai interactive_data_visualization data_transformation_data analysis data_cleansing jupyter big_data ibm cognos analytics excel_formulas python_programming professional networking microsoft excel,/professional-certificates/ibm-data-analyst,False,s12n~7qRy6fOWEeqIvgrCa-MVgQ
ibm generative ai engineering,IBM,4.644188591542938,88636,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,exploratory_data_analysis prompt_engineering_data wrangling large_language_modeling unsupervised_learning pytorch_machine_learning library generative ai chatgpt kera neural network library data_transformation flask_web_framework supervised_learning data_analysis_data cleansing data_manipulation unit_testing deep_learning jupyter regression analysis_data_importexport,/professional-certificates/ibm-generative-ai-engineering,False,s12n~FKdStbCPR16Ga6G64hBdFg
ibm ai developer,IBM,4.6413529610068505,71192,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,prompt_engineering software_development_life cycle large_language_modeling software_architecture chatgpt development_environment flask_web_framework generative ai cascading style_sheets_css unit_testing jupyter bootstrap_frontend_framework software_design software_development_tools software_engineering responsive_web_design python_programming engineering_software machine_learning data_science,/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,False,s12n~WvWoOoMoEembCA7TjU2XTA
ai healthcare,Stanford University,4.720323325635106,2165,Beginner,Specialization,THREE_TO_SIX_MONTHS,feature_engineering healthcare_ethics pharmaceutical data_ethics clinical_research health_systems healthcare_industry_knowledge medical_record unstructured_data health_care patient_evaluation health_informatics data_mining clinical_data_management statistical_machine learning applied machine_learning electronic medical_record machine_learning artificial_intelligence health_technology,/specializations/ai-healthcare,False,s12n~68fXxAJgEeqJHxKP6A-i8w
data_science foundation,"University of London, IBM, IBM",4.62096941831378,113532,Beginner,Specialization,THREE_TO_SIX_MONTHS,dashboard pseudocode jupyter algorithms_data literacy_data_mining panda python_package data_visualization_software correlation_analysis web scraping numpy python_programming probability_statistics predictive_modeling computer_programming_tools data science_machine learning_algorithms unsupervised learning_machine_learning project_management,/specializations/data-science-foundations,False,s12n~peHrosLQQY6iMw-W3HCQzg
ibm full stack software developer,IBM,4.601036936389317,55934,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,prompt_engineering istio software_development_life cycle nodejs kubernetes cloud computing_architecture server side application_deployment react redux cloud_services django web_framework software_architecture objectrelational_mapping git version_control_system flask_web_framework fullstack_web_development cascading style_sheets_css cloud_computing jupyter engineering_software,/professional-certificates/ibm-full-stack-cloud-developer,False,s12n~PaymLStoEeuBuBIWkmAWww
ibm ai product manager,"IBM, SkillUp EdTech",4.698552081832592,27764,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,prompt_engineering_generative ai new_product development_product_management product_lifecycle management_product_development innovation product roadmaps chatgpt product planning commercialization artificial_intelligence product_strategy project_management_life cycle openai stakeholder_engagement stakeholder_management competitive analysis_product_testing business_development,/professional-certificates/ibm-ai-product-manager,False,s12n~dVxvpVBzSI2qpyGsH77oMQ
ibm devops software_engineering,IBM,4.625670283283317,60646,Beginner,Professional Certificate,THREE_TO_SIX_MONTHS,user_story cicd istio open_web application_security_project owasp software_development_life cycle continuous_integration linux command kubernetes cloud computing_architecture application_deployment test driven_development tdd gherkin scripting_language jenkins git version_control_system flask_web_framework devops jupyter grafana software engineering_application development,/professional-certificates/devops-and-software-engineering,False,s12n~kxXLY1kfEey5Tg6Gr7s2bQ
