course_id,title,similarity_score,course_rating,organization
s12n~kx6DXkl-EeyQ6Qp2PlG9FQ,google advanced data analytics,0.7296,4.7394009216589845,Google
course~F3InFyfJEe2-5Aqhzcov3w,google advanced data analytics capstone,0.6675,4.851437699680512,Google
course~m0fACXB0EeulIxJCZb_vVQ,google data analytics capstone complete case study,0.6462,4.782299250244486,Google
s12n~fq9UWMbTEeqpthJ2RmWGow,google project_management,0.6348,4.842615375198921,Google
s12n~7lHCSlFIEeeffRIHljDI_g,google support,0.6329,4.783728692276779,Google
s12n~agEcxHgeRASq8yHxWPRSWA,google cloud data analytics,0.6058,4.426666666666667,Google Cloud
s12n~Z-5wCcbTEeqeNBKhfgCLyw,google ux design,0.6022,4.815436043653526,Google
course~iLNlSQp9Eeun_RJEc0KNDw,share data art visualization,0.6008,4.604054054054054,Google
s12n~elzGL0l-EeyHXRKqb0U9Hw,google business_intelligence,0.5913,4.759131180337237,Google
s12n~Dy6K-2UKEe2PIRJn6nL9pQ,google cybersecurity,0.5863,4.822850067537146,Google
